timestamp,sender,receiver,amount,category
2024-11-25 10:30:00,Sahil,Aryan,1500.5,payment
2024-11-25 11:15:00,Aryan,Vivek,250.0,transfer
2024-11-25 14:20:00,Priya,Vivek,3200.0,invoice
2024-11-25 15:45:00,Vivek,Priya,150.0,refund
2024-11-26 09:00:00,Aryan,Priya,500.0,payment
2024-11-26 10:30:00,Priya,Aryan,800.0,transfer
2024-11-26 13:15:00,Vivek,Aryan,1200.0,invoice
2024-11-26 16:00:00,Aryan,Vivek,450.0,payment
2024-11-27 08:30:00,Priya,Aryan,2500.0,invoice
2024-11-27 12:00:00,Vivek,Priya,750.0,transfer
2024-11-27 14:45:00,Priya,Vivek,1800.0,payment
2024-11-27 17:30:00,Aryan,Priya,950.0,refund
2024-11-28 09:15:00,Vivek,Aryan,3500.0,invoice
2024-11-28 11:30:00,Priya,Aryan,600.0,transfer
2024-11-28 15:00:00,Aryan,Vivek,1100.0,payment
2024-11-28 18:15:00,Aisha,Priya,1850.83,payment
2024-11-29 07:00:00,Sahil,Priya,3338.26,transfer
2024-11-29 19:15:00,Aisha,Sahil,848.4,transfer
2024-11-30 20:00:00,Priya,Aisha,1191.34,transfer
2024-11-30 23:00:00,Priya,Vivek,3605.0,invoice
2024-12-01 00:30:00,Priya,Neha,3009.17,refund
2024-12-01 13:15:00,Aisha,Neha,3390.25,transfer
2024-12-01 17:15:00,Vivek,Sahil,3881.07,invoice
2024-12-01 20:30:00,Aryan,Neha,1899.4,refund
2024-12-02 08:30:00,Rohan,Neha,256.36,payment
2024-12-02 20:45:00,Aryan,Sahil,1730.37,refund
2024-12-03 00:30:00,Neha,Aisha,7461.31,payment
2024-12-03 06:45:00,Neha,Aisha,3517.03,transfer
2024-12-03 13:15:00,Aisha,Rohan,5311.08,refund
2024-12-04 01:15:00,Aisha,Priya,6485.22,transfer
2024-12-04 02:45:00,Aryan,Aisha,439.22,transfer
2024-12-05 03:30:00,Sahil,Neha,2752.62,invoice
2024-12-05 16:15:00,Priya,Aisha,6853.53,transfer
2024-12-05 18:45:00,Rohan,Neha,6277.06,payment
2024-12-05 22:30:00,Neha,Vivek,7189.67,transfer
2024-12-06 10:30:00,Sahil,Aryan,3767.49,refund
2024-12-06 15:15:00,Vivek,Aisha,2985.74,invoice
2024-12-06 16:30:00,Aryan,Vivek,129.29,transfer
2024-12-06 21:00:00,Rohan,Aryan,3380.99,invoice
2024-12-07 21:45:00,Aisha,Neha,3406.31,payment
2024-12-08 21:45:00,Aryan,Neha,836.08,refund
2024-12-09 03:45:00,Vivek,Aisha,4570.53,payment
2024-12-09 15:45:00,Rohan,Aisha,7564.94,refund
2024-12-09 19:30:00,Aisha,Priya,340.04,refund
2024-12-09 21:15:00,Aryan,Sahil,2317.88,payment
2024-12-10 09:30:00,Aisha,Rohan,2978.75,payment
2024-12-10 11:30:00,Neha,Aryan,2523.63,invoice
2024-12-11 00:15:00,Neha,Vivek,6772.89,invoice
2024-12-11 05:00:00,Sahil,Rohan,6242.27,refund
2024-12-11 08:00:00,Vivek,Aryan,5845.93,transfer
2024-12-11 14:45:00,Priya,Sahil,4834.14,refund
2024-12-12 15:15:00,Neha,Priya,6827.07,invoice
2024-12-13 16:00:00,Priya,Aryan,4653.39,refund
2024-12-13 19:30:00,Sahil,Vivek,6780.5,transfer
2024-12-14 00:00:00,Rohan,Priya,347.07,payment
2024-12-14 04:30:00,Aisha,Rohan,2195.57,payment
